S(t),I(t),H(t),C(t),R(t),D(t),date
56131836.0,32426.0,15454.0,939.0,0.0,709.5,2020-04-02
56127958.0,34001.333333333336,16355.333333333334,1379.6666666666667,0.0,718.6666666666666,2020-04-03
56124698.0,35397.0,17388.75,1649.25,0.0,746.0,2020-04-04
56121704.0,36668.6,18321.2,1849.4,0.0,761.4,2020-04-05
56117534.0,38078.833333333336,19023.166666666668,2022.5,0.0,767.0,2020-04-06
56113175.0,39580.0,19641.428571428572,2183.1428571428573,0.0,786.2857142857143,2020-04-07
56109082.0,42561.142857142855,20832.285714285714,2650.4285714285716,0.0,825.8571428571429,2020-04-08
56105190.0,45521.857142857145,22116.714285714286,2853.5714285714284,0.0,845.8571428571429,2020-04-09
56101762.0,48402.57142857143,23020.714285714286,3041.4285714285716,0.0,861.5714285714286,2020-04-10
56098857.0,51228.71428571428,23596.571428571428,3209.714285714286,0.0,865.4285714285714,2020-04-11
56096021.0,54028.71428571428,24010.0,3353.1428571428573,0.0,869.0,2020-04-12
56092727.0,56703.857142857145,24293.0,3463.0,0.0,868.7142857142857,2020-04-13
56089357.0,59258.857142857145,24448.85714285714,3529.8571428571427,0.0,847.5714285714286,2020-04-14
56085418.0,61819.42857142857,24399.571428571428,3578.285714285714,0.0,820.0,2020-04-15
56081364.0,64420.142857142855,24253.428571428572,3622.4285714285716,0.0,803.0,2020-04-16
56077552.0,67091.57142857143,23876.285714285714,3612.5714285714284,0.0,787.1428571428571,2020-04-17
56073794.0,69906.71428571429,23526.428571428572,3609.8571428571427,0.0,765.2857142857143,2020-04-18
56070566.0,72801.28571428571,23122.85714285714,3594.714285714286,0.0,741.8571428571429,2020-04-19
56067132.0,75731.57142857143,22722.714285714286,3567.714285714286,0.0,726.1428571428571,2020-04-20
56063360.0,78734.85714285714,22328.714285714286,3535.1428571428573,0.0,710.5714285714286,2020-04-21
56058710.0,77453.57142857143,21967.85714285714,3493.4285714285716,4405.857142857143,690.8571428571429,2020-04-22
56054287.0,75793.71428571429,21536.14285714286,3439.0,9264.57142857143,669.2857142857143,2020-04-23
56050127.0,73754.14285714286,21177.0,3369.714285714286,14572.0,650.0,2020-04-24
56046894.0,71313.71428571429,20694.428571428572,3281.1428571428573,20226.85714285714,628.4285714285714,2020-04-25
56043914.0,68546.0,20217.85714285714,3187.0,26191.85714285714,610.1428571428571,2020-04-26
56039956.0,65396.42857142857,19816.14285714286,3079.714285714286,32639.0,584.7142857142857,2020-04-27
56036054.0,61792.857142857145,19299.85714285714,2968.1428571428573,39580.0,563.4285714285714,2020-04-28
56031444.0,62164.142857142855,18809.714285714286,2858.4285714285716,42561.142857142855,542.7142857142857,2020-04-29
56027213.0,62544.42857142857,18367.571428571428,2753.0,45521.857142857145,526.7142857142857,2020-04-30
56023189.0,63003.28571428572,18010.285714285714,2670.8571428571427,48402.57142857143,508.7142857142857,2020-05-01
56020512.0,63455.42857142857,17693.714285714286,2572.1428571428573,51228.71428571428,490.57142857142856,2020-05-02
56017975.0,63894.57142857143,17328.14285714286,2479.714285714286,54028.71428571428,466.42857142857144,2020-05-03
56015200.0,64303.28571428572,16928.285714285714,2399.1428571428573,56703.857142857145,452.7142857142857,2020-05-04
56012140.0,64727.0,16592.14285714286,2323.714285714286,59258.857142857145,437.57142857142856,2020-05-05
56008949.0,64957.42857142857,16235.857142857143,2246.0,61819.42857142857,422.57142857142856,2020-05-06
56005837.0,65000.57142857143,15834.42857142857,2151.285714285714,64420.142857142855,409.85714285714283,2020-05-07
56003266.0,64786.142857142855,15399.857142857143,2058.1428571428573,67091.57142857143,389.14285714285717,2020-05-08
56001499.0,64311.71428571428,15001.714285714286,1976.4285714285713,69906.71428571429,375.42857142857144,2020-05-09
55999513.0,63691.57142857143,14583.0,1900.0,72801.28571428571,363.0,2020-05-10
55996471.0,63095.28571428572,14230.0,1827.142857142857,75731.57142857143,341.57142857142856,2020-05-11
55993585.0,62417.71428571428,13872.0,1754.2857142857142,78734.85714285714,325.0,2020-05-12
55990759.0,61586.28571428572,13574.42857142857,1681.2857142857142,81859.42857142857,305.42857142857144,2020-05-13
55988587.0,60563.42857142857,13303.42857142857,1627.2857142857142,85058.28571428571,288.2857142857143,2020-05-14
55986482.0,59414.0,13093.42857142857,1584.142857142857,88326.14285714286,279.2857142857143,2020-05-15
55984726.0,58325.28571428572,12814.57142857143,1533.0,91540.57142857143,270.42857142857144,2020-05-16
55983156.0,57205.42857142857,12593.57142857143,1479.0,94737.85714285714,259.2857142857143,2020-05-17
