areaCode,region_x,areaType,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude,region_y,epi_week,nhs_region
E40000007,East of England,nhsRegion,2022-09-12,9.0,84162,418.0,47,505.0,2.0,2177579.0,19129.0,6235410,151336,52.24,0.41,East of England,202237,East of England
E40000007,East of England,nhsRegion,2022-09-11,8.0,84115,421.0,46,429.0,3.0,2177074.0,19127.0,6235410,151336,52.24,0.41,East of England,202237,East of England
E40000007,East of England,nhsRegion,2022-09-10,8.0,84069,419.0,34,296.0,0.0,2176645.0,19124.0,6235410,151336,52.24,0.41,East of England,202236,East of England
E40000007,East of England,nhsRegion,2022-09-09,9.0,84035,411.0,34,308.0,2.0,2176349.0,19124.0,6235410,151336,52.24,0.41,East of England,202236,East of England
E40000007,East of England,nhsRegion,2022-09-08,9.0,84001,421.0,51,335.0,3.0,2176041.0,19122.0,6235410,151336,52.24,0.41,East of England,202236,East of England
E40000007,East of England,nhsRegion,2022-09-07,9.0,83950,429.0,32,368.0,6.0,2175706.0,19119.0,6235410,151336,52.24,0.41,East of England,202236,East of England
E40000007,East of England,nhsRegion,2022-09-06,7.0,83918,455.0,40,455.0,3.0,2175338.0,19113.0,6235410,151336,52.24,0.41,East of England,202236,East of England
E40000007,East of England,nhsRegion,2022-09-05,8.0,83878,464.0,39,489.0,6.0,2174883.0,19110.0,6235410,151336,52.24,0.41,East of England,202236,East of England
E40000007,East of England,nhsRegion,2022-09-04,9.0,83839,458.0,33,415.0,6.0,2174394.0,19104.0,6235410,151336,52.24,0.41,East of England,202236,East of England
E40000007,East of England,nhsRegion,2022-09-03,6.0,83806,461.0,36,355.0,7.0,2173979.0,19098.0,6235410,151336,52.24,0.41,East of England,202235,East of England
E40000007,East of England,nhsRegion,2022-09-02,6.0,83770,476.0,40,361.0,7.0,2173624.0,19091.0,6235410,151336,52.24,0.41,East of England,202235,East of England
E40000007,East of England,nhsRegion,2022-09-01,5.0,83730,511.0,41,500.0,9.0,2173263.0,19084.0,6235410,151336,52.24,0.41,East of England,202235,East of England
E40000007,East of England,nhsRegion,2022-08-31,4.0,83689,532.0,55,440.0,7.0,2172763.0,19075.0,6235410,151336,52.24,0.41,East of England,202235,East of England
E40000007,East of England,nhsRegion,2022-08-30,9.0,83634,574.0,47,496.0,8.0,2172323.0,19068.0,6235410,151336,52.24,0.41,East of England,202235,East of England
E40000007,East of England,nhsRegion,2022-08-29,10.0,83587,560.0,58,456.0,6.0,2171827.0,19060.0,6235410,151336,52.24,0.41,East of England,202235,East of England
E40000007,East of England,nhsRegion,2022-08-28,11.0,83529,573.0,60,327.0,10.0,2171371.0,19054.0,6235410,151336,52.24,0.41,East of England,202235,East of England
E40000007,East of England,nhsRegion,2022-08-27,9.0,83469,557.0,55,270.0,8.0,2171044.0,19044.0,6235410,151336,52.24,0.41,East of England,202234,East of England
E40000007,East of England,nhsRegion,2022-08-26,6.0,83414,581.0,58,335.0,8.0,2170774.0,19036.0,6235410,151336,52.24,0.41,East of England,202234,East of England
E40000007,East of England,nhsRegion,2022-08-25,5.0,83356,625.0,64,356.0,7.0,2170439.0,19028.0,6235410,151336,52.24,0.41,East of England,202234,East of England
E40000007,East of England,nhsRegion,2022-08-24,14.0,83292,617.0,60,417.0,6.0,2170083.0,19021.0,6235410,151336,52.24,0.41,East of England,202234,East of England
E40000007,East of England,nhsRegion,2022-08-23,14.0,83232,667.0,83,469.0,9.0,2169666.0,19015.0,6235410,151336,52.24,0.41,East of England,202234,East of England
E40000007,East of England,nhsRegion,2022-08-22,20.0,83149,680.0,72,492.0,8.0,2169197.0,19006.0,6235410,151336,52.24,0.41,East of England,202234,East of England
E40000007,East of England,nhsRegion,2022-08-21,17.0,83077,666.0,57,424.0,10.0,2168705.0,18998.0,6235410,151336,52.24,0.41,East of England,202234,East of England
E40000007,East of England,nhsRegion,2022-08-20,13.0,83020,652.0,63,362.0,12.0,2168281.0,18988.0,6235410,151336,52.24,0.41,East of England,202233,East of England
E40000007,East of England,nhsRegion,2022-08-19,14.0,82957,686.0,82,386.0,10.0,2167919.0,18976.0,6235410,151336,52.24,0.41,East of England,202233,East of England
E40000007,East of England,nhsRegion,2022-08-18,11.0,82875,733.0,72,447.0,11.0,2167533.0,18966.0,6235410,151336,52.24,0.41,East of England,202233,East of England
E40000007,East of England,nhsRegion,2022-08-17,12.0,82803,707.0,79,556.0,9.0,2167086.0,18955.0,6235410,151336,52.24,0.41,East of England,202233,East of England
E40000007,East of England,nhsRegion,2022-08-16,14.0,82724,747.0,107,564.0,9.0,2166530.0,18946.0,6235410,151336,52.24,0.41,East of England,202233,East of England
E40000007,East of England,nhsRegion,2022-08-15,14.0,82617,769.0,89,614.0,15.0,2165966.0,18937.0,6235410,151336,52.24,0.41,East of England,202233,East of England
E40000007,East of England,nhsRegion,2022-08-14,15.0,82528,751.0,84,521.0,6.0,2165352.0,18922.0,6235410,151336,52.24,0.41,East of England,202233,East of England
E40000007,East of England,nhsRegion,2022-08-13,16.0,82444,738.0,88,452.0,14.0,2164831.0,18916.0,6235410,151336,52.24,0.41,East of England,202232,East of England
E40000007,East of England,nhsRegion,2022-08-12,19.0,82356,744.0,96,523.0,12.0,2164379.0,18902.0,6235410,151336,52.24,0.41,East of England,202232,East of England
E40000007,East of England,nhsRegion,2022-08-11,18.0,82260,771.0,95,581.0,13.0,2163856.0,18890.0,6235410,151336,52.24,0.41,East of England,202232,East of England
