,areaName,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude
0,East of England,2020-04-01,0.0,1400,833.0,167,334.0,75.0,2938.0,455.0,6235410,151336,52.24,0.41
1,East of England,2020-04-02,119.0,1584,841.0,184,372.0,71.0,3310.0,526.0,6235410,151336,52.24,0.41
2,East of England,2020-04-03,162.0,1776,914.0,192,350.0,85.0,3660.0,611.0,6235410,151336,52.24,0.41
3,East of England,2020-04-04,171.0,1939,988.0,163,268.0,70.0,3928.0,681.0,6235410,151336,52.24,0.41
4,East of England,2020-04-05,219.0,2159,1230.0,220,281.0,91.0,4209.0,772.0,6235410,151336,52.24,0.41
5,East of England,2020-04-06,204.0,2390,1220.0,231,384.0,77.0,4593.0,849.0,6235410,151336,52.24,0.41
6,East of England,2020-04-07,255.0,2554,1431.0,164,386.0,110.0,4979.0,959.0,6235410,151336,52.24,0.41
7,East of England,2020-04-08,276.0,2773,1435.0,219,409.0,116.0,5388.0,1075.0,6235410,151336,52.24,0.41
8,East of England,2020-04-09,265.0,2965,1411.0,192,323.0,95.0,5711.0,1170.0,6235410,151336,52.24,0.41
9,East of England,2020-04-10,280.0,3180,1500.0,215,319.0,71.0,6030.0,1241.0,6235410,151336,52.24,0.41
10,East of England,2020-04-11,283.0,3345,1497.0,165,271.0,103.0,6301.0,1344.0,6235410,151336,52.24,0.41
11,East of England,2020-04-12,291.0,3489,1679.0,144,259.0,101.0,6560.0,1445.0,6235410,151336,52.24,0.41
12,East of England,2020-04-13,264.0,3703,1471.0,214,292.0,86.0,6852.0,1531.0,6235410,151336,52.24,0.41
13,East of England,2020-04-14,303.0,3890,1592.0,187,289.0,71.0,7141.0,1602.0,6235410,151336,52.24,0.41
14,East of England,2020-04-15,308.0,4003,1621.0,113,296.0,87.0,7437.0,1689.0,6235410,151336,52.24,0.41
15,East of England,2020-04-16,308.0,4136,1577.0,133,336.0,86.0,7773.0,1775.0,6235410,151336,52.24,0.41
16,East of England,2020-04-17,320.0,4290,1534.0,154,366.0,86.0,8139.0,1861.0,6235410,151336,52.24,0.41
17,East of England,2020-04-18,312.0,4481,1529.0,191,328.0,74.0,8467.0,1935.0,6235410,151336,52.24,0.41
18,East of England,2020-04-19,306.0,4629,1579.0,148,318.0,75.0,8785.0,2010.0,6235410,151336,52.24,0.41
19,East of England,2020-04-20,294.0,4755,1587.0,126,362.0,70.0,9147.0,2080.0,6235410,151336,52.24,0.41
20,East of England,2020-04-21,279.0,4903,1544.0,148,406.0,79.0,9553.0,2159.0,6235410,151336,52.24,0.41
21,East of England,2020-04-22,276.0,5023,1511.0,120,522.0,77.0,10075.0,2236.0,6235410,151336,52.24,0.41
22,East of England,2020-04-23,267.0,5151,1472.0,128,476.0,58.0,10551.0,2294.0,6235410,151336,52.24,0.41
23,East of England,2020-04-24,263.0,5292,1404.0,141,424.0,83.0,10975.0,2377.0,6235410,151336,52.24,0.41
24,East of England,2020-04-25,260.0,5420,1384.0,128,375.0,59.0,11350.0,2436.0,6235410,151336,52.24,0.41
25,East of England,2020-04-26,253.0,5568,1422.0,148,357.0,64.0,11707.0,2500.0,6235410,151336,52.24,0.41
26,East of England,2020-04-27,231.0,5695,1413.0,127,513.0,58.0,12220.0,2558.0,6235410,151336,52.24,0.41
27,East of England,2020-04-28,223.0,5879,1389.0,184,463.0,68.0,12683.0,2626.0,6235410,151336,52.24,0.41
