areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
E40000009,North East and Yorkshire,nhsRegion,2023-12-08,,189268,381,50
E40000009,North East and Yorkshire,nhsRegion,2023-12-07,,189218,372,52
E40000009,North East and Yorkshire,nhsRegion,2023-12-06,,189166,364,58
E40000009,North East and Yorkshire,nhsRegion,2023-12-05,,189108,353,60
E40000009,North East and Yorkshire,nhsRegion,2023-12-04,,189048,347,59
E40000009,North East and Yorkshire,nhsRegion,2023-12-03,,188989,344,55
E40000009,North East and Yorkshire,nhsRegion,2023-12-02,,188934,332,33
E40000009,North East and Yorkshire,nhsRegion,2023-12-01,,188901,331,36
E40000009,North East and Yorkshire,nhsRegion,2023-11-30,,188865,349,47
E40000009,North East and Yorkshire,nhsRegion,2023-11-29,,188818,367,42
E40000009,North East and Yorkshire,nhsRegion,2023-11-28,,188776,365,44
E40000009,North East and Yorkshire,nhsRegion,2023-11-27,,188732,367,45
E40000009,North East and Yorkshire,nhsRegion,2023-11-26,,188687,363,39
E40000009,North East and Yorkshire,nhsRegion,2023-11-25,,188648,360,27
E40000009,North East and Yorkshire,nhsRegion,2023-11-24,,188621,369,36
E40000009,North East and Yorkshire,nhsRegion,2023-11-23,,188585,382,48
E40000009,North East and Yorkshire,nhsRegion,2023-11-22,,188537,385,47
E40000009,North East and Yorkshire,nhsRegion,2023-11-21,,188490,393,41
E40000009,North East and Yorkshire,nhsRegion,2023-11-20,,188449,387,41
E40000009,North East and Yorkshire,nhsRegion,2023-11-19,,188408,402,54
E40000009,North East and Yorkshire,nhsRegion,2023-11-18,,188354,412,31
E40000009,North East and Yorkshire,nhsRegion,2023-11-17,,188323,414,36
E40000009,North East and Yorkshire,nhsRegion,2023-11-16,,188287,422,47
E40000009,North East and Yorkshire,nhsRegion,2023-11-15,,188240,450,54
E40000009,North East and Yorkshire,nhsRegion,2023-11-14,,188186,440,53
E40000009,North East and Yorkshire,nhsRegion,2023-11-13,,188133,471,64
E40000009,North East and Yorkshire,nhsRegion,2023-11-12,,188069,489,35
E40000009,North East and Yorkshire,nhsRegion,2023-11-11,,188034,500,37
E40000009,North East and Yorkshire,nhsRegion,2023-11-10,,187997,524,39
E40000009,North East and Yorkshire,nhsRegion,2023-11-09,,187958,550,53
E40000009,North East and Yorkshire,nhsRegion,2023-11-08,,187905,569,56
E40000009,North East and Yorkshire,nhsRegion,2023-11-07,,187849,585,74
E40000009,North East and Yorkshire,nhsRegion,2023-11-06,,187775,596,58
E40000009,North East and Yorkshire,nhsRegion,2023-11-05,,187717,624,78
E40000009,North East and Yorkshire,nhsRegion,2023-11-04,,187639,605,58
E40000009,North East and Yorkshire,nhsRegion,2023-11-03,,187581,646,56
E40000009,North East and Yorkshire,nhsRegion,2023-11-02,,187525,643,82
E40000009,North East and Yorkshire,nhsRegion,2023-11-01,,187443,644,82
E40000009,North East and Yorkshire,nhsRegion,2023-10-31,,187361,654,80
E40000009,North East and Yorkshire,nhsRegion,2023-10-30,,187281,672,83
E40000009,North East and Yorkshire,nhsRegion,2023-10-29,,187198,693,86
E40000009,North East and Yorkshire,nhsRegion,2023-10-28,,187112,677,62
E40000009,North East and Yorkshire,nhsRegion,2023-10-27,,187050,687,74
E40000009,North East and Yorkshire,nhsRegion,2023-10-26,,186976,703,96
E40000009,North East and Yorkshire,nhsRegion,2023-10-25,,186880,710,89
E40000009,North East and Yorkshire,nhsRegion,2023-10-24,,186791,729,104
E40000009,North East and Yorkshire,nhsRegion,2023-10-23,,186687,742,77
E40000009,North East and Yorkshire,nhsRegion,2023-10-22,,186610,749,85
E40000009,North East and Yorkshire,nhsRegion,2023-10-21,,186525,736,61
E40000009,North East and Yorkshire,nhsRegion,2023-10-20,,186464,726,92
E40000009,North East and Yorkshire,nhsRegion,2023-10-19,,186372,709,105
E40000009,North East and Yorkshire,nhsRegion,2023-10-18,,186267,706,116
E40000009,North East and Yorkshire,nhsRegion,2023-10-17,,186151,728,129
E40000009,North East and Yorkshire,nhsRegion,2023-10-16,,186022,744,92
E40000009,North East and Yorkshire,nhsRegion,2023-10-15,,185930,763,112
E40000009,North East and Yorkshire,nhsRegion,2023-10-14,,185818,771,62
E40000009,North East and Yorkshire,nhsRegion,2023-10-13,,185756,804,96
E40000009,North East and Yorkshire,nhsRegion,2023-10-12,,185660,835,77
E40000009,North East and Yorkshire,nhsRegion,2023-10-11,,185583,860,87
E40000009,North East and Yorkshire,nhsRegion,2023-10-10,,185496,876,131
E40000009,North East and Yorkshire,nhsRegion,2023-10-09,,185365,880,119
E40000009,North East and Yorkshire,nhsRegion,2023-10-08,,185246,885,115
E40000009,North East and Yorkshire,nhsRegion,2023-10-07,,185131,877,91
E40000009,North East and Yorkshire,nhsRegion,2023-10-06,,185040,869,99
E40000009,North East and Yorkshire,nhsRegion,2023-10-05,,184941,820,155
E40000009,North East and Yorkshire,nhsRegion,2023-10-04,,184786,772,115
E40000009,North East and Yorkshire,nhsRegion,2023-10-03,,184671,796,142
E40000009,North East and Yorkshire,nhsRegion,2023-10-02,,184529,797,113
E40000009,North East and Yorkshire,nhsRegion,2023-10-01,,184416,803,111
E40000009,North East and Yorkshire,nhsRegion,2023-09-30,,184305,779,85
E40000009,North East and Yorkshire,nhsRegion,2023-09-29,,184220,747,106
E40000009,North East and Yorkshire,nhsRegion,2023-09-28,,184114,763,122
E40000009,North East and Yorkshire,nhsRegion,2023-09-27,,183992,747,127
E40000009,North East and Yorkshire,nhsRegion,2023-09-26,,183865,721,109
E40000009,North East and Yorkshire,nhsRegion,2023-09-25,,183756,669,112
E40000009,North East and Yorkshire,nhsRegion,2023-09-24,,183644,669,118
E40000009,North East and Yorkshire,nhsRegion,2023-09-23,,183526,623,85
E40000009,North East and Yorkshire,nhsRegion,2023-09-22,,183441,611,104
E40000009,North East and Yorkshire,nhsRegion,2023-09-21,,183337,644,99
E40000009,North East and Yorkshire,nhsRegion,2023-09-20,,183238,634,106
E40000009,North East and Yorkshire,nhsRegion,2023-09-19,,183132,627,99
E40000009,North East and Yorkshire,nhsRegion,2023-09-18,,183033,584,109
E40000009,North East and Yorkshire,nhsRegion,2023-09-17,,182924,576,96
E40000009,North East and Yorkshire,nhsRegion,2023-09-16,,182828,558,56
E40000009,North East and Yorkshire,nhsRegion,2023-09-15,,182772,567,62
E40000009,North East and Yorkshire,nhsRegion,2023-09-14,,182710,586,71
E40000009,North East and Yorkshire,nhsRegion,2023-09-13,,182639,584,69
E40000009,North East and Yorkshire,nhsRegion,2023-09-12,,182570,592,85
E40000009,North East and Yorkshire,nhsRegion,2023-09-11,,182485,608,85
E40000009,North East and Yorkshire,nhsRegion,2023-09-10,,182400,604,77
E40000009,North East and Yorkshire,nhsRegion,2023-09-09,,182323,599,70
E40000009,North East and Yorkshire,nhsRegion,2023-09-08,,182253,609,78
E40000009,North East and Yorkshire,nhsRegion,2023-09-07,,182175,612,102
E40000009,North East and Yorkshire,nhsRegion,2023-09-06,,182073,613,92
E40000009,North East and Yorkshire,nhsRegion,2023-09-05,,181981,622,94
E40000009,North East and Yorkshire,nhsRegion,2023-09-04,,181887,601,108
E40000009,North East and Yorkshire,nhsRegion,2023-09-03,,181779,596,94
E40000009,North East and Yorkshire,nhsRegion,2023-09-02,,181685,583,68
E40000009,North East and Yorkshire,nhsRegion,2023-09-01,,181617,577,79
E40000009,North East and Yorkshire,nhsRegion,2023-08-31,,181538,580,84
E40000009,North East and Yorkshire,nhsRegion,2023-08-30,,181454,564,100
E40000009,North East and Yorkshire,nhsRegion,2023-08-29,,181354,555,79
E40000009,North East and Yorkshire,nhsRegion,2023-08-28,,181275,514,97
E40000009,North East and Yorkshire,nhsRegion,2023-08-27,,181178,517,75
E40000009,North East and Yorkshire,nhsRegion,2023-08-26,,181103,532,48
E40000009,North East and Yorkshire,nhsRegion,2023-08-25,,181055,517,64
E40000009,North East and Yorkshire,nhsRegion,2023-08-24,,180991,510,86
E40000009,North East and Yorkshire,nhsRegion,2023-08-23,,180905,483,70
E40000009,North East and Yorkshire,nhsRegion,2023-08-22,,180835,472,97
E40000009,North East and Yorkshire,nhsRegion,2023-08-21,,180738,463,85
E40000009,North East and Yorkshire,nhsRegion,2023-08-20,,180653,473,67
E40000009,North East and Yorkshire,nhsRegion,2023-08-19,,180586,477,33
E40000009,North East and Yorkshire,nhsRegion,2023-08-18,,180553,465,44
E40000009,North East and Yorkshire,nhsRegion,2023-08-17,,180509,447,62
E40000009,North East and Yorkshire,nhsRegion,2023-08-16,,180447,414,60
E40000009,North East and Yorkshire,nhsRegion,2023-08-15,,180387,397,90
E40000009,North East and Yorkshire,nhsRegion,2023-08-14,,180297,395,76
E40000009,North East and Yorkshire,nhsRegion,2023-08-13,,180221,388,53
E40000009,North East and Yorkshire,nhsRegion,2023-08-12,,180168,378,45
E40000009,North East and Yorkshire,nhsRegion,2023-08-11,,180123,372,48
E40000009,North East and Yorkshire,nhsRegion,2023-08-10,,180075,354,59
E40000009,North East and Yorkshire,nhsRegion,2023-08-09,,180016,334,60
E40000009,North East and Yorkshire,nhsRegion,2023-08-08,,179956,319,65
E40000009,North East and Yorkshire,nhsRegion,2023-08-07,,179891,329,64
E40000009,North East and Yorkshire,nhsRegion,2023-08-06,,179827,303,41
E40000009,North East and Yorkshire,nhsRegion,2023-08-05,,179786,297,37
E40000009,North East and Yorkshire,nhsRegion,2023-08-04,,179749,297,39
E40000009,North East and Yorkshire,nhsRegion,2023-08-03,,179710,307,48
E40000009,North East and Yorkshire,nhsRegion,2023-08-02,,179662,298,35
E40000009,North East and Yorkshire,nhsRegion,2023-08-01,,179627,292,52
E40000009,North East and Yorkshire,nhsRegion,2023-07-31,,179575,266,46
E40000009,North East and Yorkshire,nhsRegion,2023-07-30,,179529,261,63
E40000009,North East and Yorkshire,nhsRegion,2023-07-29,,179466,253,29
E40000009,North East and Yorkshire,nhsRegion,2023-07-28,,179437,258,28
E40000009,North East and Yorkshire,nhsRegion,2023-07-27,,179409,255,38
E40000009,North East and Yorkshire,nhsRegion,2023-07-26,,179371,275,29
E40000009,North East and Yorkshire,nhsRegion,2023-07-25,,179342,257,34
E40000009,North East and Yorkshire,nhsRegion,2023-07-24,,179308,244,40
E40000009,North East and Yorkshire,nhsRegion,2023-07-23,,179268,233,36
E40000009,North East and Yorkshire,nhsRegion,2023-07-22,,179232,222,24
E40000009,North East and Yorkshire,nhsRegion,2023-07-21,,179208,226,35
E40000009,North East and Yorkshire,nhsRegion,2023-07-20,,179173,228,22
E40000009,North East and Yorkshire,nhsRegion,2023-07-19,,179151,210,37
E40000009,North East and Yorkshire,nhsRegion,2023-07-18,,179114,214,34
E40000009,North East and Yorkshire,nhsRegion,2023-07-17,,179080,218,24
E40000009,North East and Yorkshire,nhsRegion,2023-07-16,,179056,222,25
E40000009,North East and Yorkshire,nhsRegion,2023-07-15,,179031,223,24
E40000009,North East and Yorkshire,nhsRegion,2023-07-14,,179007,215,25
E40000009,North East and Yorkshire,nhsRegion,2023-07-13,,178982,221,36
E40000009,North East and Yorkshire,nhsRegion,2023-07-12,,178946,230,18
E40000009,North East and Yorkshire,nhsRegion,2023-07-11,,178928,219,27
E40000009,North East and Yorkshire,nhsRegion,2023-07-10,,178901,212,27
E40000009,North East and Yorkshire,nhsRegion,2023-07-09,,178874,201,20
E40000009,North East and Yorkshire,nhsRegion,2023-07-08,,178854,203,13
E40000009,North East and Yorkshire,nhsRegion,2023-07-07,,178841,202,13
E40000009,North East and Yorkshire,nhsRegion,2023-07-06,,178828,205,17
E40000009,North East and Yorkshire,nhsRegion,2023-07-05,,178811,213,14
E40000009,North East and Yorkshire,nhsRegion,2023-07-04,,178797,218,19
E40000009,North East and Yorkshire,nhsRegion,2023-07-03,,178778,223,23
E40000009,North East and Yorkshire,nhsRegion,2023-07-02,,178755,234,20
E40000009,North East and Yorkshire,nhsRegion,2023-07-01,,178735,233,13
E40000009,North East and Yorkshire,nhsRegion,2023-06-30,,178722,239,14
E40000009,North East and Yorkshire,nhsRegion,2023-06-29,,178708,262,18
