date,susceptible,active_cases,cumulative_recovered,cumulative_deceased
2020-05-01,56023969.94571941,121928.84222841263,180.89236621525404,25870.493184804916
2020-05-02,56022215.63418271,123750.76799641337,414.2437545206797,26017.163343191147
2020-05-03,56018332.829892345,124780.1659255709,190.38539531580838,26320.76764845848
2020-05-04,56018498.8578481,125581.57397774288,360.80606912894706,26407.88546538353
2020-05-05,56017834.08382805,126635.51609652383,254.11665077474234,26545.503347158432
2020-05-06,56016102.82153518,128146.57919669151,223.11302286566104,26794.963399648666
2020-05-07,56013769.14343957,129985.0749627522,293.1445987668288,27106.731565237045
2020-05-08,56011168.99087388,131998.1929237502,384.9042432666756,27440.561341285706
2020-05-09,56008508.95335693,134093.58246115275,452.10556015977636,27775.21754169464
2020-05-10,56005892.63680094,136230.44619488716,478.12314157580425,28101.579270362854
2020-05-11,56003355.504649594,138396.89783940997,460.43875037951926,28417.159737586975
2020-05-12,56000895.682007685,140592.75019022397,402.93847716885756,28722.654675483704
2020-05-13,55998495.80016499,142818.39445672717,313.95236042747274,29019.962475776672
2020-05-14,55996134.88422983,145068.43650933675,206.1755931225073,29310.972477912903
2020-05-15,55993795.557513714,147327.8267865181,97.43124283816933,29596.94294834137
2020-05-16,55991467.352516495,149570.30865750994,11.247019480049078,29878.234684944153
2020-05-17,55989147.52471071,151758.29241929736,-22.90834451819371,30154.2696352005
2020-05-18,55986841.57112957,153844.32173183985,29.665765185108675,30423.732632637024
2020-05-19,55984561.63471151,155773.9944882393,207.0927483244533,30684.87400150299
2020-05-20,55982324.709187716,157490.20371661868,548.0648929984309,30935.92725467682
2020-05-21,55980150.07007672,158938.1152997017,1088.192040164556,31175.506100654602
2020-05-22,55978056.39452628,160070.81291042056,1855.9959240534477,31402.975910186768
2020-05-23,55976058.96891616,160854.44133547373,2869.7597164724557,31618.580448150635
2020-05-24,55974167.032091774,161272.28417328425,4134.980045161077,31823.406311035156
2020-05-25,55972382.913710155,161327.00308779307,5644.289727010898,32019.119764328003
2020-05-26,55970701.834783055,161040.52020563398,7378.382802607758,32207.563592910767
2020-05-27,55969113.383658275,160451.42365380697,9308.627325449672,32390.327117919922
2020-05-28,55967603.97332916,159610.30664770943,11400.58112355428,32568.46622276306
2020-05-29,55966159.58596204,158574.05775397163,13616.803148050394,32742.37274169922
2020-05-30,55964767.98287918,157399.90874746867,15920.454331659845,32911.903131484985
2020-05-31,55963420.26830111,156140.68489721842,18276.841939381193,33076.504556655884
2020-06-01,55962110.993064255,154841.65849079404,20654.99701240233,33235.51232147217
2020-06-02,55960837.54029358,153538.78959206172,23028.49381948369,33388.28565406799
2020-06-03,55959599.43129245,152258.77404233388,25375.72090626189,33534.34090423584
2020-06-04,55958397.08890956,151019.87628037587,27679.750298202038,33673.423961639404
2020-06-05,55957231.21523333,149833.29017509733,29927.770188101702,33805.4669342041
2020-06-06,55956101.989775024,148704.85026666097,32110.807583315032,33930.581035614014
2020-06-07,55955008.989685915,147636.3397979055,34223.145234576295,34049.018436431885
2020-06-08,55953951.389214285,146626.95714957372,36261.40763253399,34161.10954475403
2020-06-09,55952927.80013983,145674.0430577823,38224.4696074043,34267.241022109985
2020-06-10,55951936.31565423,144774.17744037084,40112.40680085336,34367.80599594116
2020-06-11,55950975.005014315,143923.40260226384,41926.508272941624,34463.20276641846
2020-06-12,55950041.73801997,143117.72004740578,43669.02436323677,34553.815408706665
2020-06-13,55949134.5998846,142353.292083604,45342.334632486105,34639.99502182007
2020-06-14,55948251.60401709,141626.5810258729,46949.385953933,34722.08171272278
2020-06-15,55947390.963283256,140934.36839689527,48493.216601167405,34800.36127471924
2020-06-16,55946551.010223106,140273.8821300779,49976.710412710905,34875.09945678711
2020-06-17,55945730.42044256,139642.70656738963,51402.993910763944,34946.53873062134
2020-06-18,55944927.973265156,139038.74645849637,52774.87529218197,35014.881479263306
2020-06-19,55944142.471949264,138460.23656099182,54095.16275382042,35080.31392097473
2020-06-20,55943373.134623684,137905.7464405128,55366.510057466374,35143.0093421936
2020-06-21,55942618.956025444,137374.07606823102,56591.36295032501,35203.09447479248
2020-06-22,55941879.32182717,136864.26542108398,57772.104144879755,35260.70768928528
2020-06-23,55941153.62567977,136375.52608013153,58910.96507028171,35315.95825958252
2020-06-24,55940441.19740793,135907.21482992172,60009.93762373924,35368.95351982117
2020-06-25,55939741.62214122,135458.87445947103,61071.1019510712,35419.78528594971
2020-06-26,55939054.28555227,135030.17136076518,62096.241934904036,35468.52985572815
2020-06-27,55938378.73287925,134620.78872619357,63087.128850919864,35515.27387237549
2020-06-28,55937714.4215993,134230.58255229678,64045.45833313465,35560.080701828
2020-06-29,55937060.976733364,133859.4196358749,64972.86298084259,35603.027935028076
2020-06-30,55936417.83980203,133507.21477488108,65870.88084125519,35644.169885635376
2020-07-01,55935784.37254307,133173.9295683929,66741.03105116742,35683.575092315674
2020-07-02,55935160.03243363,132859.54241589137,67584.71298140287,35721.29722213745
