Metric,Value
MAPE,96.96720164209806
NRMSE,4.8248573949596265
MASE,207.51252247419592
RMSE,14291.91686921255
MAE,14249.029064567721
MSE,204258887.79648224
MAPE,19.87361759803133
NRMSE,0.6095572359469799
MASE,9.126975395432087
RMSE,28.47503087923749
MAE,25.277866597078283
MSE,810.8273835735287
MAPE,122.78095039031965
NRMSE,17.019029599389697
MASE,51.23275629722306
RMSE,109.40804742464807
MAE,107.99728860660476
MSE,11970.120841274042
MAPE,347.69553059936453
NRMSE,37.59465047345118
MASE,44.531890548577834
RMSE,42.96531482680133
MAE,42.75653278584383
MSE,1846.0182781661545
