date,New Confirmed Cases,New Admissions,Critical Cases,New Deaths
2021-12-18,91755.17,847.45795,785.7099,100.39023
2021-12-19,96553.766,879.8243,781.94446,99.29447
2021-12-20,100425.09,917.71423,776.49725,98.101
2021-12-21,103396.33,958.94073,769.5315,97.09339
2021-12-22,105595.45,1000.6206,761.4072,96.535126
2021-12-23,107191.49,1040.0507,752.5516,96.60538
2021-12-24,108341.82,1075.2596,743.4016,97.37916
2021-12-25,109174.766,1105.3192,734.31555,98.837776
2021-12-26,109785.305,1130.1995,725.57306,100.899506
2021-12-27,110240.51,1150.4469,717.3614,103.45296
2021-12-28,110586.305,1166.854,709.80884,106.381004
2021-12-29,110854.23,1180.2598,702.9829,109.57673
2021-12-30,111065.625,1191.4005,696.9157,112.94781
2021-12-31,111235.3,1200.8805,691.61816,116.42121
